dias_atraso,cobyser_cantidad,cobyser_pct_base,serlefin_cantidad,serlefin_pct_base,total_dia,total_dia_pct_global
61,112,1.5457,113,1.0398,225,1.2422
62,121,1.6699,120,1.1043,241,1.3305
63,121,1.6699,122,1.1227,243,1.3416
64,112,1.5457,112,1.0306,224,1.2367
65,75,1.0351,75,0.6902,150,0.8281
66,123,1.6975,122,1.1227,245,1.3526
67,108,1.4905,108,0.9938,216,1.1925
68,104,1.4353,104,0.957,208,1.1483
69,81,1.1179,81,0.7454,162,0.8944
70,102,1.4077,101,0.9294,203,1.1207
71,59,0.8142,59,0.5429,118,0.6515
72,58,0.8004,58,0.5337,116,0.6404
73,99,1.3663,100,0.9202,199,1.0987
74,81,1.1179,80,0.7362,161,0.8889
75,76,1.0489,76,0.6994,152,0.8392
76,91,1.2559,92,0.8466,183,1.0103
77,78,1.0765,77,0.7086,155,0.8557
78,79,1.0903,80,0.7362,159,0.8778
79,70,0.9661,70,0.6442,140,0.7729
80,126,1.7389,125,1.1503,251,1.3857
81,88,1.2145,89,0.819,177,0.9772
82,78,1.0765,77,0.7086,155,0.8557
83,69,0.9522,70,0.6442,139,0.7674
84,79,1.0903,78,0.7178,157,0.8668
85,60,0.828,61,0.5613,121,0.668
86,45,0.621,44,0.4049,89,0.4914
87,84,1.1593,85,0.7822,169,0.933
88,76,1.0489,75,0.6902,151,0.8337
89,63,0.8694,64,0.5889,127,0.7012
90,66,0.9108,66,0.6073,132,0.7288
91,75,1.0351,75,0.6902,150,0.8281
92,58,0.8004,58,0.5337,116,0.6404
93,60,0.828,59,0.5429,119,0.657
94,103,1.4215,103,0.9478,206,1.1373
95,87,1.2007,87,0.8006,174,0.9606
96,62,0.8556,63,0.5797,125,0.6901
97,65,0.897,65,0.5981,130,0.7177
98,59,0.8142,59,0.5429,118,0.6515
99,74,1.0213,73,0.6718,147,0.8116
100,43,0.5934,43,0.3957,86,0.4748
101,71,0.9799,72,0.6626,143,0.7895
102,58,0.8004,57,0.5245,115,0.6349
103,60,0.828,61,0.5613,121,0.668
104,61,0.8418,60,0.5521,121,0.668
105,73,1.0075,74,0.681,147,0.8116
106,51,0.7038,51,0.4693,102,0.5631
107,45,0.621,45,0.4141,90,0.4969
108,73,1.0075,72,0.6626,145,0.8005
109,55,0.759,56,0.5153,111,0.6128
110,59,0.8142,59,0.5429,118,0.6515
111,66,0.9108,66,0.6073,132,0.7288
112,47,0.6486,47,0.4325,94,0.519
113,72,0.9937,71,0.6534,143,0.7895
114,44,0.6072,45,0.4141,89,0.4914
115,70,0.9661,69,0.6349,139,0.7674
116,49,0.6762,49,0.4509,98,0.541
117,51,0.7038,52,0.4785,103,0.5687
118,47,0.6486,46,0.4233,93,0.5134
119,60,0.828,61,0.5613,121,0.668
120,65,0.897,64,0.5889,129,0.7122
121,33,0.4554,34,0.3129,67,0.3699
122,51,0.7038,51,0.4693,102,0.5631
123,43,0.5934,42,0.3865,85,0.4693
124,53,0.7314,53,0.4877,106,0.5852
125,67,0.9246,67,0.6165,134,0.7398
126,62,0.8556,63,0.5797,125,0.6901
127,51,0.7038,51,0.4693,102,0.5631
128,32,0.4416,31,0.2853,63,0.3478
129,70,0.9661,71,0.6534,141,0.7784
130,48,0.6624,47,0.4325,95,0.5245
131,40,0.552,40,0.3681,80,0.4417
132,59,0.8142,60,0.5521,119,0.657
133,66,0.9108,65,0.5981,131,0.7232
134,59,0.8142,59,0.5429,118,0.6515
135,35,0.483,36,0.3313,71,0.392
136,67,0.9246,67,0.6165,134,0.7398
137,61,0.8418,61,0.5613,122,0.6735
138,65,0.897,65,0.5981,130,0.7177
139,68,0.9384,68,0.6257,136,0.7508
140,72,0.9937,71,0.6534,143,0.7895
141,62,0.8556,62,0.5705,124,0.6846
142,39,0.5382,39,0.3589,78,0.4306
143,69,0.9522,69,0.6349,138,0.7619
144,50,0.69,50,0.4601,100,0.5521
145,42,0.5796,42,0.3865,84,0.4638
146,42,0.5796,42,0.3865,84,0.4638
147,49,0.6762,49,0.4509,98,0.541
148,48,0.6624,49,0.4509,97,0.5355
149,28,0.3864,27,0.2485,55,0.3036
150,59,0.8142,59,0.5429,118,0.6515
151,53,0.7314,54,0.4969,107,0.5907
152,40,0.552,39,0.3589,79,0.4362
153,43,0.5934,44,0.4049,87,0.4803
154,64,0.8832,64,0.5889,128,0.7067
155,55,0.759,55,0.5061,110,0.6073
156,29,0.4002,29,0.2669,58,0.3202
157,65,0.897,65,0.5981,130,0.7177
158,45,0.621,44,0.4049,89,0.4914
159,35,0.483,35,0.3221,70,0.3865
160,50,0.69,50,0.4601,100,0.5521
161,47,0.6486,47,0.4325,94,0.519
162,45,0.621,45,0.4141,90,0.4969
163,41,0.5658,41,0.3773,82,0.4527
164,56,0.7728,56,0.5153,112,0.6183
165,45,0.621,46,0.4233,91,0.5024
166,38,0.5244,38,0.3497,76,0.4196
167,52,0.7176,51,0.4693,103,0.5687
168,48,0.6624,49,0.4509,97,0.5355
169,54,0.7452,53,0.4877,107,0.5907
170,39,0.5382,40,0.3681,79,0.4362
171,67,0.9246,67,0.6165,134,0.7398
172,62,0.8556,61,0.5613,123,0.6791
173,51,0.7038,51,0.4693,102,0.5631
174,48,0.6624,49,0.4509,97,0.5355
175,37,0.5106,64,0.5889,101,0.5576
176,0,0.0,132,1.2147,132,0.7288
177,0,0.0,67,0.6165,67,0.3699
178,0,0.0,131,1.2055,131,0.7232
179,0,0.0,93,0.8558,93,0.5134
180,0,0.0,77,0.7086,77,0.4251
181,0,0.0,101,0.9294,101,0.5576
182,0,0.0,105,0.9662,105,0.5797
183,0,0.0,76,0.6994,76,0.4196
184,0,0.0,66,0.6073,66,0.3644
185,0,0.0,123,1.1319,123,0.6791
186,0,0.0,115,1.0582,115,0.6349
187,0,0.0,112,1.0306,112,0.6183
188,0,0.0,98,0.9018,98,0.541
189,0,0.0,103,0.9478,103,0.5687
190,0,0.0,103,0.9478,103,0.5687
191,0,0.0,58,0.5337,58,0.3202
192,0,0.0,122,1.1227,122,0.6735
193,0,0.0,124,1.1411,124,0.6846
194,0,0.0,73,0.6718,73,0.403
195,0,0.0,126,1.1595,126,0.6956
196,0,0.0,108,0.9938,108,0.5963
197,0,0.0,139,1.2791,139,0.7674
198,0,0.0,80,0.7362,80,0.4417
199,0,0.0,132,1.2147,132,0.7288
200,0,0.0,136,1.2515,136,0.7508
201,0,0.0,138,1.2699,138,0.7619
202,0,0.0,105,0.9662,105,0.5797
203,0,0.0,122,1.1227,122,0.6735
204,0,0.0,116,1.0675,116,0.6404
205,0,0.0,94,0.865,94,0.519
206,0,0.0,121,1.1135,121,0.668
207,0,0.0,110,1.0122,110,0.6073
208,0,0.0,86,0.7914,86,0.4748
209,0,0.0,102,0.9386,102,0.5631
