base,day,contracts,percent
Serlefin,61,112,1.0309
Serlefin,62,120,1.1046
Serlefin,63,122,1.123
Serlefin,64,112,1.0309
Serlefin,65,75,0.6904
Serlefin,66,122,1.123
Serlefin,67,108,0.9941
Serlefin,68,104,0.9573
Serlefin,69,81,0.7456
Serlefin,70,102,0.9389
Serlefin,71,59,0.5431
Serlefin,72,58,0.5339
Serlefin,73,99,0.9113
Serlefin,74,81,0.7456
Serlefin,75,76,0.6996
Serlefin,76,91,0.8376
Serlefin,77,77,0.7088
Serlefin,78,80,0.7364
Serlefin,79,70,0.6443
Serlefin,80,125,1.1506
Serlefin,81,89,0.8192
Serlefin,82,77,0.7088
Serlefin,83,70,0.6443
Serlefin,84,78,0.718
Serlefin,85,61,0.5615
Serlefin,86,44,0.405
Serlefin,87,85,0.7824
Serlefin,88,75,0.6904
Serlefin,89,64,0.5891
Serlefin,90,66,0.6075
Serlefin,91,75,0.6904
Serlefin,92,58,0.5339
Serlefin,93,59,0.5431
Serlefin,94,103,0.9481
Serlefin,95,87,0.8008
Serlefin,96,62,0.5707
Serlefin,97,65,0.5983
Serlefin,98,59,0.5431
Serlefin,99,74,0.6811
Serlefin,100,43,0.3958
Serlefin,101,71,0.6535
Serlefin,102,58,0.5339
Serlefin,103,60,0.5523
Serlefin,104,61,0.5615
Serlefin,105,73,0.6719
Serlefin,106,51,0.4694
Serlefin,107,45,0.4142
Serlefin,108,73,0.6719
Serlefin,109,55,0.5063
Serlefin,110,59,0.5431
Serlefin,111,66,0.6075
Serlefin,112,47,0.4326
Serlefin,113,72,0.6627
Serlefin,114,44,0.405
Serlefin,115,70,0.6443
Serlefin,116,49,0.451
Serlefin,117,51,0.4694
Serlefin,118,47,0.4326
Serlefin,119,60,0.5523
Serlefin,120,65,0.5983
Serlefin,121,33,0.3038
Serlefin,122,51,0.4694
Serlefin,123,43,0.3958
Serlefin,124,53,0.4878
Serlefin,125,67,0.6167
Serlefin,126,62,0.5707
Serlefin,127,51,0.4694
Serlefin,128,32,0.2946
Serlefin,129,70,0.6443
Serlefin,130,48,0.4418
Serlefin,131,40,0.3682
Serlefin,132,59,0.5431
Serlefin,133,66,0.6075
Serlefin,134,59,0.5431
Serlefin,135,35,0.3222
Serlefin,136,67,0.6167
Serlefin,137,61,0.5615
Serlefin,138,65,0.5983
Serlefin,139,68,0.6259
Serlefin,140,72,0.6627
Serlefin,141,62,0.5707
Serlefin,142,39,0.359
Serlefin,143,69,0.6351
Serlefin,144,50,0.4602
Serlefin,145,41,0.3774
Serlefin,146,42,0.3866
Serlefin,147,49,0.451
Serlefin,148,48,0.4418
Serlefin,149,28,0.2577
Serlefin,150,59,0.5431
Serlefin,151,53,0.4878
Serlefin,152,40,0.3682
Serlefin,153,43,0.3958
Serlefin,154,64,0.5891
Serlefin,155,55,0.5063
Serlefin,156,29,0.2669
Serlefin,157,65,0.5983
Serlefin,158,45,0.4142
